Course,Handed,Sex,Verbal,Age
 Social,right,female,500,18.42
 Social,left,female,520,20.5
 Social,right,female,600,18.75
 Social,right,male,560,19.58
 Social,right,female,520,26.17
 Social,right,female,500,18.83
 Social,right,female,620,21.08
 Social,right,female,460,19.33
 Social,right,male,410,19.75
 Social,right,male,500,20.42
 Social,left,female,520,21.75
 Social,right,female,NA,18.67
 Social,right,male,510,19.5
 Social,left,male,530,22
 Social,right,female,510,19.67
 Social,right,male,550,19.58
 Social,right,female,640,19.42
 Social,right,female,510,20
 Social,right,male,490,19.75
 Social,right,male,630,21.58
 Social,right,female,NA,21.75
 Social,right,male,530,23.58
 Social,right,male,600,20.58
 Social,right,female,NA,18.83
 Social,right,female,600,19
 Social,left,male,650,19.25
 Social,right,male,NA,24.83
 Social,right,female,NA,18.92
 Social,right,female,680,19
 Social,right,female,600,20.5
 Social,left,female,NA,19.92
 Social,right,female,NA,19.92
 Social,right,female,700,22.83
 Social,right,female,540,23.25
 Social,left,female,550,19.42
 Social,right,female,600,20.17
 Social,left,female,600,18.75
 Social,right,female,NA,21.08
 Social,right,female,440,20.67
 Social,right,female,NA,20.83
 Social,left,male,540,25.83
 Social,left,male,530,18.58
 Social,right,female,600,20.5
 Social,left,female,550,19.67
 Social,left,male,550,22
 Social,right,female,600,19.25
 Social,right,female,590,19.25
 Social,right,female,530,18.25
 Social,left,male,675,20.42
 Social,right,female,650,19.25
 Social,right,male,NA,18.83
 Social,right,female,NA,31.08
 Social,right,male,520,20.58
 Social,right,male,NA,20.08
 Social,right,female,540,22.67
 Social,right,female,620,19.5
 Social,right,female,NA,20
 Social,right,female,590,20.67
 Social,right,male,600,19.67
 Social,right,male,520,20
 Social,right,female,440,20.33
 Social,right,female,520,19.75
 Social,left,female,610,19.17
 Social,right,female,420,18.75
 Social,right,male,530,19.83
 Social,right,female,680,19.33
Natural,right,male,710,24.17
 Social,left,male,630,19.08
 Social,left,female,690,19.42
 Social,left,female,420,20.17
 Social,left,female,460,20.58
 Social,right,female,680,21
 Social,right,female,750,21.33
 Social,right,male,550,18.58
 Social,right,female,NA,20.08
 Social,right,female,630,22.08
Natural,right,female,NA,19.92
Natural,left,male,560,NA
Natural,right,male,NA,20.25
Natural,right,female,670,22.83
Natural,left,female,700,21
Natural,right,female,350,24.92
Natural,right,male,500,21.33
Natural,left,male,650,19.83
Natural,right,male,595,20
 Social,left,female,650,21.08
Natural,left,male,570,19.92
Natural,left,male,NA,18.33
Natural,right,female,610,20.25
Natural,right,male,630,21.25
Natural,right,female,800,19.33
Natural,right,male,650,19.58
Natural,right,male,NA,18.5
Natural,left,male,640,19.75
Natural,right,female,700,20.08
Natural,right,male,600,18.92
Natural,right,female,625,19.5
Natural,right,female,550,19.42
Natural,right,male,620,19.5
Natural,right,male,650,21.58
Natural,right,female,540,19.67
Natural,right,female,600,19.25
Natural,right,female,690,18.25
Natural,right,female,680,18.25
Natural,left,female,535,20.75
Natural,right,male,490,21.42
Natural,right,female,670,19.75
Natural,left,female,560,18
Natural,right,male,600,19.25
Natural,right,male,530,21.17
Natural,right,female,643,18.5
Natural,left,female,540,19.92
Natural,right,female,600,20.08
Natural,right,male,720,21.42
Natural,right,female,620,19.08
Natural,right,male,650,18.58
Natural,right,female,610,18.33
Natural,right,female,630,20.17
Natural,left,male,650,18.42
Natural,right,female,NA,18.92
Natural,right,female,670,20.25
Natural,right,male,740,23.92
Natural,right,male,630,19.83
Natural,right,female,690,20.08
Natural,right,female,700,20
Natural,right,female,670,23.17
Natural,right,female,540,19.42
Natural,right,female,440,19.67
Natural,right,female,720,24.75
Natural,right,female,NA,22.08
Natural,right,male,420,26.25
Natural,right,female,630,18.67
Natural,right,male,600,19.25
Natural,right,female,600,19
Natural,right,female,600,19.33
Natural,right,female,600,19.92
Natural,right,female,450,34.08
 Social,left,male,500,21.58
 Social,left,female,550,20.83
Business,right,female,610,18.58
Business,left,female,590,18.75
Business,right,male,480,18.17
Business,right,female,620,18.75
Business,right,female,720,20.08
Business,right,female,690,20.67
Business,left,male,530,19.08
Business,right,female,500,20.25
Business,right,female,550,19.17
Business,right,female,580,20.92
Business,right,female,640,19.42
Business,right,male,580,18.92
Business,left,male,540,22.58
Business,right,male,560,18.67
Business,left,female,460,19.67
Business,right,female,400,18.17
Business,right,female,530,18.75
Business,right,male,NA,20.17
Business,right,female,510,29
Business,right,male,500,20.25
Business,right,female,620,19
Business,right,female,560,19.17
Business,right,female,580,18.83
Business,right,female,NA,19.5
Business,right,female,490,22.25
Business,right,male,600,19.5
Business,right,male,450,20.25
Business,right,male,580,19.08
Business,right,female,570,18.67
Business,left,female,650,19.08
Business,right,female,660,18.67
Business,right,male,390,18.42
Business,right,male,470,18.83
Business,left,female,500,19.75
Business,right,male,520,18.83
Business,right,male,500,19.58
Business,right,male,495,18.83
